date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:44	425/425	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:43%20GMT	https://l.facebook.com/l.php?u=https%3A%2F%2Finstagram.com%2F&h=AT2xkd7jt3DyUVaxnr4uLnEU_gvE_rVO4GvFWGS1_d_3IYeVt_zLjnB5rCWtVcshE57ErRlfLmolBCEul8Mvje3JAaWX-CqKHX1pXnexEuVnKjBz5KzjGgIH5MZTZjj-iTGuFg2-CwXFADvqS8RIMg	/root/websites/Fcaebook/l.facebook.com/l6ca1.html	(from https://es-la.facebook.com/)
14:34:44	495768/495768	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:43%20GMT	https://es-la.facebook.com/login/	/root/websites/Fcaebook/es-la.facebook.com/login/index.html	(from https://es-la.facebook.com/)
14:34:45	493541/493541	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:43%20GMT	https://es-la.facebook.com/lite/	/root/websites/Fcaebook/es-la.facebook.com/lite/index.html	(from https://es-la.facebook.com/)
14:34:45	506616/506616	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:43%20GMT	https://es-la.facebook.com/mobile/?ref=pf	/root/websites/Fcaebook/es-la.facebook.com/mobile/index30c2.html	(from https://es-la.facebook.com/)
14:34:45	491715/491715	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:45%20GMT	https://es-la.facebook.com/directory/people/	/root/websites/Fcaebook/es-la.facebook.com/directory/people/index.html	(from https://es-la.facebook.com/)
14:34:46	745081/745081	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:46%20GMT	https://es-la.facebook.com/pages/category/	/root/websites/Fcaebook/es-la.facebook.com/pages/category/index.html	(from https://es-la.facebook.com/)
14:34:47	539142/539142	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:47%20GMT	https://es-la.facebook.com/places/	/root/websites/Fcaebook/es-la.facebook.com/places/index.html	(from https://es-la.facebook.com/)
14:34:47	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:47%20GMT	https://es-la.facebook.com/games/	/root/websites/Fcaebook/es-la.facebook.com/games/index.html	(from https://es-la.facebook.com/)
14:34:47	2762079/2762079	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:47%20GMT	https://es-la.facebook.com/facebook	/root/websites/Fcaebook/es-la.facebook.com/facebook.html	(from https://es-la.facebook.com/)
14:34:47	491667/491667	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:47%20GMT	https://es-la.facebook.com/directory/pages/	/root/websites/Fcaebook/es-la.facebook.com/directory/pages/index.html	(from https://es-la.facebook.com/)
